user_id,item_id,rating,review_text
0,481,2,Thời gian giao hàng chấp nhận được. chất liệu rẻ tiền.
0,192,4,Dùng rất thích. thời gian giao hàng chấp nhận được.
0,221,3,"Đóng gói sơ sài, sản phẩm bị vỡ. pin rất trâu."
0,95,5,Chất liệu cao cấp. dịch vụ khách hàng tuyệt vời.
0,348,4,Thời gian giao hàng chấp nhận được. dùng rất thích.
0,299,1,"Sản phẩm bị lỗi, không hoạt động. sẽ không bao giờ quay lại."
0,338,1,"Mô tả một đằng, giao hàng một nẻo. giao hàng quá chậm."
0,194,3,Hộp hơi móp nhưng không ảnh hưởng sản phẩm. có vài vết xước nhỏ không đáng kể.
0,43,5,Dịch vụ khách hàng tuyệt vời. hoạt động mượt mà.
0,395,3,Đúng như mô tả của shop. vận chuyển rất ẩu.
0,316,1,"Gửi sai mẫu, sai màu. đóng gói sơ sài, sản phẩm bị vỡ."
0,151,4,Đúng như mô tả của shop. đóng gói tạm được.
0,408,5,Đúng như mô tả của shop. shop trả lời tin nhắn nhanh.
0,126,4,Thời gian giao hàng chấp nhận được. dùng rất thích.
0,365,1,Chất liệu rẻ tiền. vận chuyển rất ẩu.
0,37,1,"Đóng gói sơ sài, sản phẩm bị vỡ. sản phẩm bị lỗi, không hoạt động."
0,42,2,Thời gian giao hàng chấp nhận được. chất lượng quá tệ.
0,137,3,"Cũng được, không có gì đặc sắc. tạm ổn so với giá."
0,78,2,"Gửi sai mẫu, sai màu. đóng gói tạm được."
0,364,2,Hộp hơi móp nhưng không ảnh hưởng sản phẩm. không như quảng cáo.
0,401,5,Chất liệu cao cấp. giao hàng siêu nhanh.
0,324,1,"Vận chuyển rất ẩu. gửi sai mẫu, sai màu."
0,378,4,Giao hàng hơi lâu một chút. đúng như mô tả của shop.
0,199,2,Hộp hơi móp nhưng không ảnh hưởng sản phẩm. không như quảng cáo.
0,162,2,Chất lượng quá tệ. thời gian giao hàng chấp nhận được.
0,184,3,Giao hàng quá chậm. chất liệu cao cấp.
0,54,1,"Sản phẩm bị lỗi, không hoạt động. thái độ phục vụ rất tệ."
0,46,5,Nhận hàng trong chớp mắt. đúng như mô tả của shop.
0,2,3,Hộp hơi móp nhưng không ảnh hưởng sản phẩm. chất lượng cũng bình thường.
0,482,3,Thời gian giao hàng chấp nhận được. tạm ổn so với giá.
0,157,3,Hộp hơi móp nhưng không ảnh hưởng sản phẩm. giao hàng hơi lâu một chút.
0,227,4,Pin rất trâu. thời gian giao hàng chấp nhận được.
0,389,1,"Gửi sai mẫu, sai màu. giải quyết khiếu nại quá lâu."
0,138,5,Giao hàng siêu nhanh. sản phẩm tốt ngoài mong đợi.
0,52,5,Đóng gói cực kỳ cẩn thận. đúng như mô tả của shop.
0,67,3,"Pin rất trâu. đóng gói sơ sài, sản phẩm bị vỡ."
0,44,4,Pin rất trâu. thời gian giao hàng chấp nhận được.
0,220,1,"Đóng gói sơ sài, sản phẩm bị vỡ. không như quảng cáo."
0,229,3,Vận chuyển rất ẩu. chất liệu cao cấp.
0,285,2,Không như quảng cáo. thời gian giao hàng chấp nhận được.
0,284,4,Giao hàng hơi lâu một chút. chất liệu cao cấp.
0,262,2,Hộp hơi móp nhưng không ảnh hưởng sản phẩm. không như quảng cáo.
0,208,1,"Sản phẩm bị lỗi, không hoạt động. đóng gói sơ sài, sản phẩm bị vỡ."
0,13,5,Đúng như mô tả của shop. shop tư vấn rất nhiệt tình.
0,45,2,"Gửi sai mẫu, sai màu. hộp hơi móp nhưng không ảnh hưởng sản phẩm."
0,181,3,Thiết kế sang trọng. giao hàng quá chậm.
0,283,4,Thời gian giao hàng chấp nhận được. đúng như mô tả của shop.
0,47,5,Nhận hàng trong chớp mắt. dùng rất thích.
0,305,5,Hoàn toàn xứng đáng với giá tiền. đóng gói cực kỳ cẩn thận.
0,306,4,Sản phẩm tốt ngoài mong đợi. đóng gói tạm được.
1,355,5,Chất lượng sản phẩm tuyệt vời. đóng gói cực kỳ cẩn thận.
1,72,3,"Cũng được, không có gì đặc sắc. có vài vết xước nhỏ không đáng kể."
1,261,4,Thời gian giao hàng chấp nhận được. hoạt động mượt mà.
1,198,5,Thiết kế sang trọng. cảm ơn shop nhiều.
1,214,5,Pin rất trâu. giao hàng siêu nhanh.
1,305,4,Pin rất trâu. đóng gói tạm được.
1,70,3,"Cũng được, không có gì đặc sắc. có vài vết xước nhỏ không đáng kể."
1,294,1,"Gửi sai mẫu, sai màu. shop không trả lời tin nhắn."
1,196,1,"Đóng gói sơ sài, sản phẩm bị vỡ. sản phẩm bị lỗi, không hoạt động."
1,216,2,Thời gian giao hàng chấp nhận được. chất liệu rẻ tiền.
1,95,2,Đóng gói tạm được. hoàn toàn thất vọng.
1,249,2,Chất lượng quá tệ. hộp hơi móp nhưng không ảnh hưởng sản phẩm.
1,325,3,Hoàn toàn xứng đáng với giá tiền. làm mất hàng của tôi.
1,275,4,Hộp hơi móp nhưng không ảnh hưởng sản phẩm. dùng rất thích.
1,470,4,Thời gian giao hàng chấp nhận được. hoàn toàn xứng đáng với giá tiền.
1,330,5,Đóng gói cực kỳ cẩn thận. dùng rất thích.
1,476,4,"Mẫu mã đẹp, y như hình. đóng gói tạm được."
1,88,5,"Mẫu mã đẹp, y như hình. hàng được bọc kỹ lưỡng, không móp méo."
1,284,1,Hoàn toàn thất vọng. làm mất hàng của tôi.
1,85,4,Thời gian giao hàng chấp nhận được. chất liệu cao cấp.
